alignment,entity,title,article_date,label_direction,label_credit_relevant,label_signal_type,label_confidence,label_reasoning,ground_truth_outcome,ground_truth_action,ground_truth_days,url
missed,HDFC Ltd,"Standard Life to sell 1 . 78 % stake in HDFC Life Insurance Company for Rs 1 , 404 cr",2019-05-02,0,0,other,high,Standard Life's stake sale in HDFC Life to comply with SEBI minimum public shareholding requirements is a regulatory com,negative,downgrade,15,https://www.firstpost.com/business/standard-life-to-sell-1-78-stake-in-hdfc-life-insurance-company-for-rs-1404-cr-6559381.html
missed,Reliance Capital,"Stocks in the news : Yes Bank , Mphasis , Lupin , PNB , Reliance Capital , Inox Wind",2018-11-28,1,1,asset_quality,medium,Reliance Capital's Q2 standalone profit recovery to Rs 197 crore from Rs 417 crore loss YoY and revenue increase to Rs 9,negative,outlook_negative,82,https://www.moneycontrol.com/news/business/markets/stocks-in-the-news-yes-bank-mphasis-lupin-pnb-reliance-capital-inox-wind-3226061.html
missed,HDFC Ltd,RBI monetary policy : Sensex slumps 100 points as interest,2017-12-06,0,0,other,high,Article discusses stock market movements and trading sentiment ahead of RBI policy announcement; HDFC Ltd is mentioned o,negative,downgrade,43,http://www.firstpost.com/business/rbi-monetary-policy-sensex-slumps-100-points-as-interest-sensitive-stocks-sell-weaker-rupee-dampens-sentiment-4244797.html
missed,Shriram Finance,"Tata Motors , STFC , Can Fin Homes in focus",2020-06-16,1,1,funding,medium,"Shriram Transport Finance's board approval to raise Rs 4,000 crore (Rs 1,500 crore rights issue + Rs 2,500 crore specifi",negative,downgrade,7,https://www.business-standard.com/article/news-cm/tata-motors-stfc-can-fin-homes-in-focus-120061600202_1.html
missed,YES Bank,Yes Bank jumps 4 % as the lender plans to raise funds,2020-01-08,1,1,funding,high,"Bank's announced plan to raise funds through multiple instruments (equity, convertible bonds, debentures) addresses capi",negative,downgrade,43,https://www.moneycontrol.com/news/business/markets/yes-bank-jumps-4-as-the-lender-plans-to-raise-funds-4794831.html
missed,Lakshmi Vilas Bank,Indiabulls Housing Finance - Lakshmi Vilas Bank merger gets CCI nod,2019-06-21,1,1,funding,medium,"CCI approval of Indiabulls-LVB merger signals potential access to low-cost deposits and capital base strengthening, thou",negative,outlook_negative,4,http://www.deccanchronicle.com/business/companies/210619/indiabulls-housing-finance-lakshmi-vilas-bank-merger-gets-cci-nod.html
missed,DHFL,"Zee Ent , Jet Airways , DHFL , RCom : A trading guide for news - driven stocks",2019-04-15,0,0,other,high,"Article is a technical trading guide focused on stock price movements, moving averages, and trading strategies with no i",negative,default,51,https://www.business-standard.com/article/markets/zee-entertainment-jet-airways-dhfl-and-rcom-on-investor-radar-119041500148_1.html
missed,Indiabulls Housing Finance,"Cipla , BSE among 10 overbought stocks with RSI above 70",2023-08-07,0,0,other,high,Article discusses only technical stock price indicators (RSI) and trading momentum; contains no information on debt serv,negative,downgrade,88,https://economictimes.indiatimes.com/markets/stocks/news/cipla-bse-among-10-overbought-stocks-with-rsi-above-70/articleshow/102499567.cms
missed,Can Fin Homes,"Can Fin Homes share price : Buy Can Fin Homes , target Rs 355 : Manav Chopra",2019-03-22,0,0,other,high,"Article contains only financial metrics (revenue, profit, share count), analyst stock recommendation, and management nam",negative,downgrade,45,https://economictimes.indiatimes.com/markets/stocks/recos/buy-can-fin-homes-target-rs-355-manav-chopra/articleshow/68516555.cms
missed,Reliance Capital,Nippon Life Insurance raises stake in Reliance Nippon Asset Management to 54 %,2019-08-21,1,1,liquidity,high,"Reliance Capital's stake sale in RNAM for Rs 1,500 crore and planned complete exit from mutual fund business provides ma",negative,default,30,https://economictimes.indiatimes.com/mf/mf-news/nippon-life-insurance-raises-stake-in-reliance-nippon-asset-management-to-54/articleshow/70770762.cms
missed,YES Bank,YES BANK Bags Data Science Innovation Award,2019-02-07,0,0,other,high,Article describes receipt of a data science innovation award for a customer engagement analytics tool; awards and techno,negative,downgrade,85,https://www.moneycontrol.com/news/business/markets/yes-bank-bags-data-science-innovation-award-3498331.html
missed,Reliance Capital,"Top trading calls by Anand Rathi : Sell Hindalco , Reliance Capital",2018-12-26,0,0,other,high,Article contains only a trading recommendation (sell call) on Reliance Capital stock with no information on debt servici,negative,outlook_negative,54,https://www.business-standard.com/article/markets/top-trading-calls-by-anand-rathi-sell-hindalco-reliance-capital-118122600036_1.html
missed,HDFC Ltd,"hdfc bank : HDFC Bank plans to raise Rs 50 , 000 crore via debt issue",2019-04-08,0,1,funding,medium,"Large Rs 50,000 crore debt issuance (perpetual instruments, Tier II bonds, long-term bonds) signals proactive capital ma",negative,downgrade,39,https://economictimes.indiatimes.com/markets/stocks/news/hdfc-bank-plans-to-raise-rs-50000-crore-via-debt-issue/articleshow/68775491.cms
missed,Piramal Enterprises,Board of Piramal Enterprises allots 3 . 05 lakh equity shares pursuant to scheme of amalgamation,2019-12-14,0,0,other,high,Routine equity share allotment pursuant to scheme of amalgamation is a corporate restructuring action with no bearing on,negative,downgrade,6,https://www.business-standard.com/article/news-cm/board-of-piramal-enterprises-allots-3-05-lakh-equity-shares-pursuant-to-scheme-of-amalgamation-119121400309_1.html
missed,Indiabulls Housing Finance,Indiabulls Housing Finance Ltd slips for fifth straight session,2020-02-01,0,0,other,high,"Article contains only stock price movements, trading volumes, and valuation metrics with no information on debt servicin",negative,downgrade,6,https://www.business-standard.com/article/news-cm/indiabulls-housing-finance-ltd-slips-for-fifth-straight-session-120020100669_1.html
correct,YES Bank,Yes Bank : India Ratings downgrades YES Bank for third time in a year,2020-02-12,-1,1,funding,high,"Third downgrade in one year citing delayed and inadequate equity infusion, sizable foreign currency liabilities, institu",negative,downgrade,8,https://economictimes.indiatimes.com/markets/stocks/news/india-ratings-downgrades-yes-bank-for-third-time-in-a-year/articleshow/74103451.cms
correct,IL&FS,"IL downgrade to hit MF ₹1 , 200 cr . investments",2018-09-10,-1,1,contagion,high,"IL&FS downgrade due to high debt and liquidity pressure, affecting ₹1,200+ crore of mutual fund investments across major",negative,default,7,https://www.thehindu.com/business/Economy/ilfs-downgrade-to-hit-mfs-1200-cr-investments/article24919216.ece
correct,YES Bank,YES Bank share price : YES Bank stock gains traction ahead of board meet,2018-09-25,-1,1,governance,high,RBI's denial of CEO's three-year extension and curtailment of tenure to January 2019 signals regulatory concerns about l,negative,downgrade,64,https://economictimes.indiatimes.com/markets/stocks/news/yes-bank-stock-gains-traction-ahead-of-board-meet/articleshow/65944514.cms
correct,SREI Equipment Finance,srei group : RBI moves NCLT against SREI Equipment Finance and SREI Infra,2021-10-08,-1,1,regulatory,high,"RBI referred SREI Equipment Finance to NCLT for insolvency proceedings following board supersession, citing pre-pandemic",negative,downgrade,5,https://economictimes.indiatimes.com/industry/banking/finance/banking/rbi-moves-nclt-against-srei-equipment-finance-and-srei-infra/articleshow/86862620.cms
correct,DHFL,Crisil downgrades DHFL commercial papers to  default  grade,2019-06-05,-1,1,liquidity,high,"DHFL downgraded to default grade on commercial papers with Rs 900-1,000 crore NCD interest defaults, Rs 750 crore CP due",negative,downgrade,5,https://www.business-standard.com/article/pti-stories/crisil-downgrades-dhfl-s-commercial-papers-to-default-grade-119060501009_1.html
correct,Reliance Capital,RBI : New RBI guidelines all set to hit NBFC margins & business growth,2019-05-28,-1,1,funding,high,RBI's tighter liquidity framework requiring NBFCs to hold high-quality liquid assets will squeeze margins and restrict b,negative,downgrade,24,https://economictimes.indiatimes.com/markets/stocks/news/new-rbi-guidelines-all-set-to-hit-nbfcs-margins-business-growth/articleshow/69536325.cms
correct,Reliance Capital,L & T Finance offloads Anil Ambani Group stocks - The Hindu BusinessLine,2019-02-07,-1,1,liquidity,high,L&T Finance's forced offloading of large ADAG stock positions at distressed prices signals defensive liquidity managemen,negative,outlook_negative,11,https://www.thehindubusinessline.com/markets/lt-finance-offloads-anil-ambani-group-stocks/article26206231.ece
correct,Reliance Capital,"Top 10 business headlines : Centre tax revenue , NBFC crisis , and more",2019-05-03,-1,1,contagion,high,"Rs 7.5 trillion in corporate paper downgrades since IL&FS defaults, Reliance Capital downgrade reviving NBFC liquidity c",negative,downgrade,16,https://www.business-standard.com/article/current-affairs/top-10-business-headlines-centre-s-tax-revenue-nbfc-crisis-and-more-119050300098_1.html
correct,SREI Equipment Finance,"Jagdish Kishinchand Valecha vs Srei Equipment Finance Limited ... on 25 February , 2021",2021-02-27,-1,1,asset_quality,medium,Arbitration award dispute against SREI Equipment Finance involving potential fraud/corruption allegations signals legal/,negative,downgrade,17,https://indiankanoon.org/doc/95862057/
correct,YES Bank,YES Bank shares fall over 12 % in 8 days ; why have investors turned bearish on the stock ?,2019-11-21,-1,1,asset_quality,high,"RBI found Rs 3,277 crore under-reporting of bad loans in FY19, raising NPAs by 41.5%, reducing net profit by Rs 636 cror",negative,downgrade,28,https://www.businesstoday.in/markets/company-stock/yes-bank-shares-fall-12-8-days-why-investors-turned-bearish-on-stock/story/390798.html
correct,Reliance Capital,"Anil Ambani - Led Reliance Capital Says PWC Observations  Baseless , Unjustified",2019-06-13,-1,1,governance,high,"Statutory auditor PWC's resignation citing unresolved observations on fund diversion, material transaction irregularitie",negative,downgrade,8,https://www.ndtv.com/business/anil-ambani-led-reliance-capital-says-pwc-observations-baseless-unjustified-2052614
correct,DHFL,"DHFL Insolvency : FD Holders Queuing Up to Submit Claims , Here is What You Need to Do",2019-12-10,-1,1,asset_quality,high,"DHFL's insolvency proceedings with Rs 27,000 crore in bond defaults, collapse from Rs 10,167 crore to Rs 6,188 crore in ",negative,downgrade,10,https://www.moneylife.in/article/dhfl-insolvency-fd-holders-queuing-up-to-submit-claims-here-is-what-you-need-to-do/58871.html
correct,YES Bank,Yes Bank lays off 500 employees in restructuring exercise ; more job cuts likely : Report,2024-06-26,1,1,operational,medium,Cost reduction through workforce optimization in response to 12% staff expense growth signals operational efficiency mea,positive,upgrade,23,https://www.businesstoday.in/jobs/story/yes-bank-lays-off-500-employees-in-restructuring-exercise-more-job-cuts-likely-report-434708-2024-06-26
correct,SREI Equipment Finance,"Srei Equipment Finance Ltd vs Gurdeepsingh Shersingh Fouji & ... on 9 August , 2019",2019-08-10,-1,1,asset_quality,medium,Court proceedings involving SREI Equipment Finance pursuing debt recovery against award debtors indicates underlying loa,negative,downgrade,61,https://indiankanoon.org/doc/68197492/
correct,Reliance Capital,"Reliance Cap concludes 21 . 54 % stake sale in RNAM for Rs 3 , 030 cr",2019-09-28,-1,1,liquidity,high,"Strategic asset sales of Rs 6,200 crore (RNAM stake) plus Rs 12,000 crore total debt reduction target in FY2020 signals ",negative,downgrade,3,https://www.thehindubusinessline.com/money-and-banking/reliance-cap-concludes-2154-stake-sale-in-rnam-for-rs-3030-cr/article29541487.ece
false_alarm,Tata Capital,"Tata Capital divests forex , travel arms",2017-09-25,-1,1,liquidity,medium,Divestment of two wholly-owned subsidiaries (forex and travel arms) during a period of NBFC expansion signals potential ,neutral,initial,57,http://www.thehindu.com/business/tata-capital-divests-forex-travel-arms/article19753294.ece
false_alarm,YES Bank,"Yes Bank customers shocked over RBI decision , queue up at branches to withdraw money",2020-03-06,-1,1,liquidity,high,"RBI-imposed moratorium on YES Bank citing 'serious deterioration in financial position' with Rs 50,000 withdrawal cap an",positive,upgrade,18,https://www.business-standard.com/article/news-ani/yes-bank-customers-shocked-over-rbi-decision-queue-up-at-branches-to-withdraw-money-120030600361_1.html
false_alarm,Cholamandalam,HC rejects insurance company plea over police action in cheating case,2019-06-10,-1,1,governance,medium,FIR filed against Cholamandalam's senior management for alleged cheating in insurance claim denial (Rs 43 lakh dispute) ,neutral,initial,32,https://www.business-standard.com/article/pti-stories/hc-rejects-insurance-company-s-plea-over-police-action-in-cheating-case-119061001239_1.html
false_alarm,Spandana Sphoorty,Spandana Sphoorty Financial consolidated net profit declines 53 . 36 % in the June 2024 quarter,2024-07-27,-1,1,asset_quality,high,53.36% net profit decline despite 38.75% revenue growth and sharp compression in operating margin (67.94% to 43.91%) sig,neutral,initial,27,https://www.business-standard.com/markets/capital-market-news/spandana-sphoorty-financial-consolidated-net-profit-declines-53-36-in-the-june-2024-quarter-124072700406_1.html
false_alarm,Shriram Finance,Shriram Group lowers growth guidance for merged finance biz in FY23,2022-08-30,-1,1,operational,medium,Downward revision of loan book growth guidance from 15% to 12% and plan to reduce liquidity buffers signals cautious ris,neutral,affirmed,2,https://www.business-standard.com/article/companies/shriram-group-lowers-growth-guidance-for-merged-finance-biz-in-fy23-122083000316_1.html
false_alarm,Indiabulls Housing Finance,YES Bank owes Rs 662 cr to Indiabulls Housing Finance via AT - 1 Bonds,2020-03-08,-1,1,liquidity,high,Rs 662 crore AT-1 bond investment in YES Bank (a failing institution under RBI intervention in March 2020) represents a ,neutral,initial,22,https://www.thehindubusinessline.com/money-and-banking/yes-bank-owes-rs-662-cr-to-indiabulls-housing-finance-via-at-1-bonds/article31015139.ece
false_alarm,Muthoot Finance,M G George Muthoot : Muthoot Finance chairman MG George passes away | India Business News,2021-03-05,-1,1,governance,medium,Death of long-serving chairman (71-year-old founder's heir leading for 28 years) creates governance uncertainty and succ,positive,upgrade,11,https://timesofindia.indiatimes.com/business/india-business/muthoot-finance-chairman-mg-george-passes-away/articleshow/81355821.cms
false_alarm,Muthoot Finance,"Muthoot , Manappuram Finance fall over 8 % on RBI advisory on cash disbursal ; here what it means fo",2024-05-09,-1,1,operational,high,"RBI's stricter enforcement of cash disbursal limits (₹20,000 cap) directly restricts gold loan NBFCs' operational flexib",neutral,initial,57,https://www.livemint.com/market/stock-market-news/muthoot-manappuram-finance-fall-over-8-on-rbi-advisory-on-cash-disbursal-what-it-means-for-gold-financier-nbfcs-11715245800903.html
false_alarm,Reliance Home Finance,Reliance Home Finance : Reliance Home Finance cracks over 7 % after firm extends maturity date on Rs,2019-07-01,-1,1,liquidity,high,Reliance Home Finance extending Rs 400 crore NCD maturity by four months due to 'continuing severe liquidity crisis' and,neutral,initial,49,https://realty.economictimes.indiatimes.com/news/allied-industries/reliance-home-finance-cracks-over-7-after-firm-extends-maturity-date-on-rs-400-crore-ncds/70023590
false_alarm,HDB Financial Services,"Shekh Mumtaz Ahmed Alias Sk Mumtaz ... vs Hdb Financial Services Limited on 17 April , 2019",2019-04-18,-1,1,asset_quality,medium,HDB Financial Services repossessed a financed truck despite pending court petition and borrower's offer to reschedule du,neutral,initial,5,https://indiankanoon.org/doc/168029502/
missed_positive,Aavas Financiers,"Stocks in the news : ITC , VA Tech Wabag , Oberoi Realty , Sacheta Metals , Genus Power , Walchandna",2019-01-23,0,0,other,high,Article is a generic stocks-in-news roundup mentioning Aavas Financiers only in the results announcement list with no fi,positive,upgrade,56,https://www.moneycontrol.com/news/business/markets/stocks-in-the-news-itc-va-tech-wabag-oberoi-realty-sacheta-metals-genus-power-walchandnagar-3422171.html
missed_positive,Cholamandalam,Buy Escorts ; target of Rs 1048 : Cholamandalam securities,2018-05-29,0,0,other,high,Article is an equity research report on Escorts' operating performance and valuation; contains no information on debt se,positive,upgrade,24,https://www.moneycontrol.com/news/business/stocks/buy-escorts-target-of-rs-1048-cholamandalam-securities-2577877.html
missed_positive,Cholamandalam,Vakrangee share price,2018-05-09,0,0,other,high,"Article contains only stock price movements and trading indices with no information on Cholamandalam's debt servicing, a",positive,upgrade,44,https://economictimes.indiatimes.com/markets/stocks/news/market-now-midcaps-underperform-sensex-vakrangee-plunges-5/articleshow/64090872.cms
missed_positive,Cholamandalam,Market Now : Over 20 stocks hit fresh 52 - week highs on NSE,2018-02-14,0,0,other,high,"Article contains only stock price movements and trading metrics with no information on debt servicing, asset quality, fu",positive,upgrade,72,https://economictimes.indiatimes.com/markets/stocks/news/market-now-over-20-stocks-hit-fresh-52-week-highs-on-nsebrbr/articleshow/62911686.cms
missed_positive,HDFC Ltd,Indices : Stock market update : Nifty Bank index falls 0 . 86 %,2024-04-12,0,0,other,high,Article contains only daily stock price movements and index performance data with no information on debt servicing capac,positive,upgrade,18,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-bank-index-falls-0-86/articleshow/109248025.cms
irrelevant_correct,LIC Housing Finance,LIC Housing Finance plans to expand project loan business in FY23,2022-05-22,0,0,other,high,Strategic business expansion plan to increase project finance share from 5% to 10% is a general business development act,neutral,initial,38,https://www.business-standard.com/article/companies/lic-housing-finance-plans-to-expand-project-loan-business-in-fy23-122052300034_1.html
irrelevant_correct,Tata Capital,"Stock Market Live Updates 22 February 2024 : Japan stocks , US futures rise ; oil gains over 1 %",2024-02-22,0,0,other,high,"Article contains only stock market updates, trading volumes, index movements, and technical analysis with no information",neutral,initial,11,https://www.thehindubusinessline.com/markets/share-market-nifty-sensex-live-updates-22-february-2024/article67871508.ece
irrelevant_correct,Indiabulls Housing Finance,Indiabulls Housing Finance allots NCDs aggregating Rs 895 cr,2017-12-28,0,1,funding,medium,"NCD allotment of Rs 895 crore indicates active debt capital market access; however, context-dependent assessment—if part",neutral,initial,83,http://www.business-standard.com/article/news-cm/indiabulls-housing-finance-allots-ncds-aggregating-rs-895-cr-117122800169_1.html
irrelevant_correct,Bajaj Finance,"Stock market - Sensex , Nifty rebound nearly 1 per cent on firm global trends , buying in Reliance",2023-03-21,0,0,other,high,Article contains only stock price movements and market index performance; Bajaj Finance is mentioned solely as a Sensex ,neutral,initial,70,https://www.telegraphindia.com/feeds/business/sensex-nifty-rebound-nearly-1-per-cent-on-firm-global-trends-buying-in-reliance/cid/1924058
irrelevant_correct,Tata Capital,"Varroc Engineering Rs 1 , 955 - cr IPO to open on June 26",2018-06-19,0,0,other,high,Article reports Tata Capital's stake sale in Varroc Engineering IPO as a secondary shareholder; this is routine portfoli,neutral,initial,13,https://www.moneycontrol.com/news/business/ipo/varroc-engineering-rs-1955-cr-ipo-to-open-on-june-26-2605661.html
